,nim,mori,mobs,sep,ein,fs,frac_sh_trunc,mmin,flag_out,zs,xs,ys,m_type_sh,zl_sh,mass_sh,xl_sh,yl_sh,elip_sh,pol_sh,param1_sh,m_type_sat,zl_sat,mass_sat,xl_sat,yl_sat,elip_sat,pol_sat,param1_sat,m_type_hh,zl_hh,mass_hh,xl_hh,yl_hh,elip_hh,pol_hh,param1_hh,m_type_cen,zl_cen,mass_cen,xl_cen,yl_cen,elip_cen,pol_cen,param1_cen,m_type_pert,zl_pert,mass_pert,xl_pert,yl_pert,elip_pert,pol_pert,param1_pert,vel_disp
6861,3.0,24.55,23.15223,7.165326,3.228445,0.0,-1.0,22.78621,3.0,2.49,-0.6665459,-0.1363204,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.355,39700360000000.0,0.0,0.0,0.2611196,-171.754,11.56178,1.0,0.355,294678000000.0,0.0,0.0,0.2208407,-177.4439,0.7193004,2.0,0.355,2.49,0.0,0.0,0.05704813,-26.02761,0.0,274.6517068600329
6863,3.0,21.45,21.6242,0.9324552,0.6527674,0.0,-1.0,19.88874,3.0,2.96,0.1062793,-0.01563169,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.219,4851944000000.0,0.0,0.0,0.4745858,73.02287,4.500925,1.0,1.219,65439170000.0,0.0,0.0,0.6683298,73.18704,0.08015139,2.0,1.219,2.96,0.0,0.0,0.1001213,168.9173,0.0,183.71315828005916
6864,3.0,22.39,21.94686,0.8489119,0.4697531,0.0,-1.0,20.37877,3.0,1.68,0.09579051,-0.06957622,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.465,600235300000.0,0.0,0.0,0.1959291,39.36248,18.14223,1.0,0.465,24501890000.0,0.0,0.0,0.2378479,74.0717,0.1219852,2.0,0.465,1.68,0.0,0.0,0.02205719,13.50113,0.0,125.1421317935638
6865,3.0,21.17,22.34672,0.381168,0.09684431,0.0,-1.0,20.92114,1.0,1.72,0.1651003,0.05591488,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.363,1463688000000.0,0.0,0.0,0.5178379,-154.9047,4.423606,1.0,1.363,43187030000.0,0.0,0.0,0.7026091,-187.4142,0.04953619,2.0,1.363,1.72,0.0,0.0,0.02431034,-149.1873,0.0,183.95553094248652
6866,3.0,23.47,22.69132,0.4040881,0.1801083,0.0,-1.0,21.96403,3.0,3.83,0.01786103,-0.07298348,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.696,876382100000.0,0.0,0.0,0.2911371,-96.58593,5.251218,1.0,1.696,15616840000.0,0.0,0.0,0.4381701,-49.25428,0.06560981,2.0,1.696,3.83,0.0,0.0,0.08422934,79.42805,0.0,105.35436535505323
6867,3.0,21.55,22.30739,1.704368,1.008711,0.0,-1.0,20.1212,3.0,1.98,0.3883742,-0.1617773,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.262,2968435000000.0,0.0,0.0,0.3868332,-80.96728,7.131644,1.0,0.262,104569000000.0,0.0,0.0,0.5021772,-117.1066,0.4497238,2.0,0.262,1.98,0.0,0.0,0.02800306,108.8674,0.0,152.23159574327278
6870,3.0,23.33,22.24872,0.3890109,0.1780226,0.0,-1.0,21.88654,3.0,3.53,0.1058152,0.0892363,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.06,814145400000.0,0.0,0.0,0.2980948,37.87596,4.108316,1.0,1.06,17208590000.0,0.0,0.0,0.4098489,47.12292,0.1293515,2.0,1.06,3.53,0.0,0.0,0.05995003,-159.2602,0.0,83.94024140390968
6871,3.0,18.49,20.57539,1.775108,0.8530529,0.0,-1.0,18.157,1.0,0.75,-0.8204002,-0.3050041,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.21,1674647000000.0,0.0,0.0,0.2505815,81.25952,4.789798,1.0,0.21,66822420000.0,0.0,0.0,0.1947176,71.81874,0.1599916,2.0,0.21,0.75,0.0,0.0,0.006736754,1.405513,0.0,196.9022625763474
6872,3.0,19.99,20.17188,0.843397,0.3677979,0.0,-1.0,19.25144,1.0,2.69,0.08279381,-0.1977596,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.828,1012181000000.0,0.0,0.0,0.2389527,-22.4817,7.639755,1.0,0.828,34707350000.0,0.0,0.0,0.06837019,7.008602,0.09544248,2.0,0.828,2.69,0.0,0.0,0.07020839,114.9372,0.0,132.66111345181736
6874,5.0,25.01,23.03419,1.481277,0.8223445,0.0,-1.0,22.31485,3.0,3.54,-0.01815868,0.03017021,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.218,1078048000000.0,0.0,0.0,0.06539888,-114.7408,11.87142,1.0,0.218,45950650000.0,0.0,0.0,0.3590454,-118.8818,0.2246759,2.0,0.218,3.54,0.0,0.0,0.07748915,-3.728976,0.0,146.05408303070902
