,zl,m_h,m_acc,e_h,p_h,con,m_g,e_g,p_g,tb,vel_disp
254700,1.834,608135000000.0,0.0,0.1774022,-76.16099,5.55122,7213033000.0,0.1013036,-91.99977,0.07546407,78.52335760477116
254800,1.844,430526600000.0,0.0,0.3663543,-123.8755,4.67798,4460857000.0,0.5773588,-159.4306,0.1035813,63.88791463769261
254900,1.854,15170500000000.0,0.0,0.3514495,51.73554,3.882633,97923410000.0,0.0962012,94.64612,0.0831604,223.3209005500137
255000,1.865,129419600000.0,0.0,0.2161,11.87983,8.297236,580910000.0,0.4937347,3.433826,0.05241782,46.30069941481466
255100,1.875,251188600000.0,0.0,0.1900823,98.07864,5.939541,1537195000.0,0.4269411,151.4086,0.04191095,51.11531530107119
255200,1.886,132129600000.0,0.0,0.4345472,-14.10284,3.489836,688638500.0,0.4726819,65.99676,0.1036756,37.78739309149638
255300,1.896,229614900000.0,0.0,0.002700178,-88.64362,2.817609,1431444000.0,0.318475,-82.30562,0.09111294,40.64225430542376
255400,1.907,112201800000.0,0.0,0.3624276,-86.09848,5.222656,243797800.0,0.3986646,-114.8139,0.08987022,40.11124899643974
255500,1.917,178648800000.0,0.0,0.3587771,-13.40199,3.562184,773635200.0,0.0530463,-35.8289,0.03576684,36.725673010238935
255600,1.927,223872100000.0,0.0,0.3381729,47.29758,2.044432,1168770000.0,0.46225,102.9614,0.1238474,37.42558233781403
255700,1.939,137720900000.0,0.0,0.3080542,72.85837,2.867045,373271700.0,0.3274328,50.64701,0.06497073,29.935875558785536
255800,1.95,100693200000.0,0.0,0.3721495,-161.1829,9.379842,212525200.0,0.2113384,-167.6073,0.1418125,60.80605421959163
255900,1.96,204644500000.0,0.0,0.4606741,-82.14329,2.960216,1259448000.0,0.2857995,-135.1562,0.1615851,45.59892998215529
256000,1.971,160694100000.0,0.0,0.2473695,168.1466,2.681155,537617700.0,0.3358396,81.08811,0.08492932,33.288665349586964
256100,1.981,255270100000.0,0.0,0.1813133,-110.7303,3.234442,1194137000.0,0.5032798,-176.1465,0.03843754,42.15109121603167
256200,1.992,151356100000.0,0.0,0.0693498,-3.333689,3.685011,907221900.0,0.2713998,60.59911,0.07456028,38.88719941199898
256300,2.003,126473600000.0,0.0,0.5928551,33.70149,2.749914,353930600.0,0.1680639,-35.75413,0.08015122,30.894762066406084
256400,2.014,108893000000.0,0.0,0.02650541,174.5765,5.504311,285444700.0,0.2197305,145.0383,0.0514216,35.69156756899407
256500,2.025,104712900000.0,0.0,0.2893511,8.695353,8.011906,561661200.0,0.1844595,49.01468,0.1797118,62.20065489063452
256600,2.035,314050900000.0,0.0,0.2281407,-178.4011,5.16207,1533531000.0,0.3865988,-164.1144,0.09978671,56.5131226109692
256700,2.046,261216100000.0,0.0,0.1243927,157.0398,7.436205,1558741000.0,0.6091111,168.1875,0.04647111,57.02825057171095
256800,2.057,139315700000.0,0.0,0.1813983,50.94835,9.483381,513119300.0,0.2737005,55.41598,0.1107374,63.79346302594621
256900,2.068,193196800000.0,0.0,0.1928328,37.72075,4.96169,762767800.0,0.6242937,65.90699,0.04984933,41.90168321697407
257000,2.079,234963300000.0,0.0,0.3277992,-58.76175,3.992801,1139661000.0,0.281641,-50.85057,0.07533897,44.7669919782938
257100,2.09,1879317000000.0,0.0,0.2737637,-72.83767,4.722245,53447150000.0,0.5427168,-44.50997,0.04698728,212.88264653770847
257200,2.101,972747200000.0,0.0,0.1388843,61.47674,3.503985,20651230000.0,0.4018744,46.17864,0.04834747,132.3971641524751
257300,2.112,329609700000.0,0.0,0.1400069,-100.6007,5.542238,2062354000.0,0.3527404,-120.5798,0.06482839,57.46833914326763
257400,2.123,176603800000.0,0.0,0.02687834,69.31228,5.228754,715077100.0,0.1923045,42.48775,0.1659939,57.765311995211576
257500,2.134,169044100000.0,0.0,0.2499675,86.15225,3.665528,846516000.0,0.2896558,109.2104,0.07115497,39.76961687366249
257600,2.145,441570400000.0,0.0,0.1674576,31.93067,5.900133,3653594000.0,0.3550405,-35.61412,0.05425084,68.94137165024621
257700,2.157,155955300000.0,0.0,0.08613037,93.96046,2.889099,656347300.0,0.4264393,158.8849,0.0919257,36.87496736694847
257800,2.168,109144000000.0,0.0,0.2027532,74.72441,6.833369,366897100.0,0.3653982,74.9356,0.123784,53.99236730849004
257900,2.179,337287300000.0,0.0,0.1979257,4.403809,3.168987,2548124000.0,0.2225544,28.933,0.05435374,52.8035026803917
258000,2.19,314774800000.0,0.0,0.2360173,172.796,5.89377,1463522000.0,0.2118012,140.2341,0.06150534,55.73916136032326
258100,2.202,182810000000.0,0.0,0.207415,21.68757,4.798758,608623900.0,0.3320087,0.4030847,0.06404369,42.82118581509169
258200,2.214,122743900000.0,0.0,0.3550287,-133.8202,3.391911,400675500.0,0.2848442,-97.98203,0.04398851,31.26974752254408
258300,2.225,446683600000.0,0.0,0.2949667,-78.86825,2.568009,3603087000.0,0.08164887,-151.2697,0.03516796,67.18138702687492
258400,2.237,223872100000.0,0.0,0.2503062,-41.1521,4.920875,1255797000.0,0.3381872,-21.61046,0.07274002,50.09138995721639
258500,2.248,704693100000.0,0.0,0.1142834,81.88441,2.642906,6978345000.0,0.4030464,104.6181,0.09159256,68.75659219965684
258600,2.26,396278000000.0,0.0,0.1890462,-3.796385,3.209257,3303975000.0,0.2842743,17.31872,0.07688308,56.4165723385664
258700,2.272,125603000000.0,0.0,0.3318059,-103.5303,3.886573,274375900.0,0.08896178,-118.4074,0.1040862,40.77393890211171
258800,2.283,464515300000.0,0.0,0.2789216,12.36809,3.262639,4831392000.0,0.2609908,15.70515,0.06566942,65.3620440828028
