,om10M_i,om10z,index,Min Distance,cosmodc2_index,sersic_bulge,size_minor_bulge_true,dec_true,size_disk_true,size_minor_disk_true,size_true,size_bulge_true,mag_i,ra_true,mag_true_i,sersic_disk,magnification,size_minor_true,galaxy_id,seed,sf_z,tau_y,tau_g,sf_u,tau_u,sf_y,tau_z,sf_r,tau_i,M_i,sf_g,tau_r,sf_i,flux_y,flux_u_noMW,dec,flux_z_noMW,flux_i,flux_g_noMW,is_pointsource,is_variable,flux_g,flux_i_noMW,flux_z,flux_r_noMW,ra,flux_u,flux_y_noMW,redshift,flux_r,ellipticity_1_disk_true,ellipticity_2_bulge_true,ellipticity_2_true,ellipticity_2_disk_true,ellipticity_1_true,ellipticity_2_true_dc2,ellipticity_1_bulge_true,ellipticity_disk_true,ellipticity_true,ellipticity_1_bulge_true_dc2,ellipticity_bulge_true,ellipticity_1_true_dc2,ellipticity_1_disk_true_dc2,ellipticity_2_bulge_true_dc2,ellipticity_2_disk_true_dc2,Mag_true_i_lsst_z0,bulge_to_total_ratio_i,stellar_mass_bulge,halo_mass,stellar_mass,stellar_mass_disk,shear_2,shear_1,convergence,phi_disk,q_disk,phi_bulge,q_bulge,phi,q,size_true_kpc,size_true_log,size_true_kpc_log,bulge_to_total_ratio_i_log,stellar_mass_log,stellar_mass_bulge_log,stellar_mass_disk_log,halo_mass_log,bin
876,-25.474863132820314,2.7,1132,0.03420982723784796,10427.0,4.0,1.1424795,-28.12592152600149,1.872424,1.6545345,1.1685992,1.1685992,23.47599142645579,53.31619112951725,23.414972,1.0,0.9453493970388088,1.1424797,2580531248,4380379,0.2261,210.7,192.9,0.3412,186.6,0.2144,207.8,0.2655,204.1,-25.50899612723032,0.3002,199.2,0.242,23336.334,6072.4956,-28.14634110003447,20908.938,19057.918,14990.403,1,1,14558.926,19375.688,20647.818,18575.404,53.32391728009942,5847.0093,23581.209,2.7022915,18177.74,-0.013269799,0.011038125,0.011038125,0.060336318,-0.0024276208,0.0070827405859414,-0.0024276208,0.061778303,0.011301926,0.0088072881594369,0.011301926,0.0088072881594369,0.0481421752686927,0.0070827405859414,0.0387154970404504,-23.499775,1.0,209530800000.0,2365899075064.789,209530800000.0,1.4018387,0.009210977425623,-0.0065045834166791,-0.0285606950433625,0.893640188738603,0.8836323859841178,0.8936401890861608,0.9776487587660193,0.8936401890861608,0.9776487587660193,9.376822126927317,0.06766558466490041,0.9720556777626742,0.0,11.321247871153728,11.321247871153728,0.1466980452069868,12.373996214477325,2.5 - 3.0
1194,-25.480737238312916,2.8,1562,0.10171290859618613,10427.0,4.0,1.1424795,-28.12592152600149,1.872424,1.6545345,1.1685992,1.1685992,23.47599142645579,53.31619112951725,23.414972,1.0,0.9453493970388088,1.1424797,2580531248,4380379,0.2261,210.7,192.9,0.3412,186.6,0.2144,207.8,0.2655,204.1,-25.50899612723032,0.3002,199.2,0.242,23336.334,6072.4956,-28.14634110003447,20908.938,19057.918,14990.403,1,1,14558.926,19375.688,20647.818,18575.404,53.32391728009942,5847.0093,23581.209,2.7022915,18177.74,-0.013269799,0.011038125,0.011038125,0.060336318,-0.0024276208,0.0070827405859414,-0.0024276208,0.061778303,0.011301926,0.0088072881594369,0.011301926,0.0088072881594369,0.0481421752686927,0.0070827405859414,0.0387154970404504,-23.499775,1.0,209530800000.0,2365899075064.789,209530800000.0,1.4018387,0.009210977425623,-0.0065045834166791,-0.0285606950433625,0.893640188738603,0.8836323859841178,0.8936401890861608,0.9776487587660193,0.8936401890861608,0.9776487587660193,9.376822126927317,0.06766558466490041,0.9720556777626742,0.0,11.321247871153728,11.321247871153728,0.1466980452069868,12.373996214477325,2.5 - 3.0
1376,-25.32184498790442,2.78,1790,0.20264293701787844,10427.0,4.0,1.1424795,-28.12592152600149,1.872424,1.6545345,1.1685992,1.1685992,23.47599142645579,53.31619112951725,23.414972,1.0,0.9453493970388088,1.1424797,2580531248,4380379,0.2261,210.7,192.9,0.3412,186.6,0.2144,207.8,0.2655,204.1,-25.50899612723032,0.3002,199.2,0.242,23336.334,6072.4956,-28.14634110003447,20908.938,19057.918,14990.403,1,1,14558.926,19375.688,20647.818,18575.404,53.32391728009942,5847.0093,23581.209,2.7022915,18177.74,-0.013269799,0.011038125,0.011038125,0.060336318,-0.0024276208,0.0070827405859414,-0.0024276208,0.061778303,0.011301926,0.0088072881594369,0.011301926,0.0088072881594369,0.0481421752686927,0.0070827405859414,0.0387154970404504,-23.499775,1.0,209530800000.0,2365899075064.789,209530800000.0,1.4018387,0.009210977425623,-0.0065045834166791,-0.0285606950433625,0.893640188738603,0.8836323859841178,0.8936401890861608,0.9776487587660193,0.8936401890861608,0.9776487587660193,9.376822126927317,0.06766558466490041,0.9720556777626742,0.0,11.321247871153728,11.321247871153728,0.1466980452069868,12.373996214477325,2.5 - 3.0
1407,-25.554863132820316,2.7,1827,0.04592421119674061,10427.0,4.0,1.1424795,-28.12592152600149,1.872424,1.6545345,1.1685992,1.1685992,23.47599142645579,53.31619112951725,23.414972,1.0,0.9453493970388088,1.1424797,2580531248,4380379,0.2261,210.7,192.9,0.3412,186.6,0.2144,207.8,0.2655,204.1,-25.50899612723032,0.3002,199.2,0.242,23336.334,6072.4956,-28.14634110003447,20908.938,19057.918,14990.403,1,1,14558.926,19375.688,20647.818,18575.404,53.32391728009942,5847.0093,23581.209,2.7022915,18177.74,-0.013269799,0.011038125,0.011038125,0.060336318,-0.0024276208,0.0070827405859414,-0.0024276208,0.061778303,0.011301926,0.0088072881594369,0.011301926,0.0088072881594369,0.0481421752686927,0.0070827405859414,0.0387154970404504,-23.499775,1.0,209530800000.0,2365899075064.789,209530800000.0,1.4018387,0.009210977425623,-0.0065045834166791,-0.0285606950433625,0.893640188738603,0.8836323859841178,0.8936401890861608,0.9776487587660193,0.8936401890861608,0.9776487587660193,9.376822126927317,0.06766558466490041,0.9720556777626742,0.0,11.321247871153728,11.321247871153728,0.1466980452069868,12.373996214477325,2.5 - 3.0
1775,-25.569281012692088,2.68,2332,0.0642742435769461,10427.0,4.0,1.1424795,-28.12592152600149,1.872424,1.6545345,1.1685992,1.1685992,23.47599142645579,53.31619112951725,23.414972,1.0,0.9453493970388088,1.1424797,2580531248,4380379,0.2261,210.7,192.9,0.3412,186.6,0.2144,207.8,0.2655,204.1,-25.50899612723032,0.3002,199.2,0.242,23336.334,6072.4956,-28.14634110003447,20908.938,19057.918,14990.403,1,1,14558.926,19375.688,20647.818,18575.404,53.32391728009942,5847.0093,23581.209,2.7022915,18177.74,-0.013269799,0.011038125,0.011038125,0.060336318,-0.0024276208,0.0070827405859414,-0.0024276208,0.061778303,0.011301926,0.0088072881594369,0.011301926,0.0088072881594369,0.0481421752686927,0.0070827405859414,0.0387154970404504,-23.499775,1.0,209530800000.0,2365899075064.789,209530800000.0,1.4018387,0.009210977425623,-0.0065045834166791,-0.0285606950433625,0.893640188738603,0.8836323859841178,0.8936401890861608,0.9776487587660193,0.8936401890861608,0.9776487587660193,9.376822126927317,0.06766558466490041,0.9720556777626742,0.0,11.321247871153728,11.321247871153728,0.1466980452069868,12.373996214477325,2.5 - 3.0
1802,-25.38184498790442,2.78,2374,0.1490168554363041,10427.0,4.0,1.1424795,-28.12592152600149,1.872424,1.6545345,1.1685992,1.1685992,23.47599142645579,53.31619112951725,23.414972,1.0,0.9453493970388088,1.1424797,2580531248,4380379,0.2261,210.7,192.9,0.3412,186.6,0.2144,207.8,0.2655,204.1,-25.50899612723032,0.3002,199.2,0.242,23336.334,6072.4956,-28.14634110003447,20908.938,19057.918,14990.403,1,1,14558.926,19375.688,20647.818,18575.404,53.32391728009942,5847.0093,23581.209,2.7022915,18177.74,-0.013269799,0.011038125,0.011038125,0.060336318,-0.0024276208,0.0070827405859414,-0.0024276208,0.061778303,0.011301926,0.0088072881594369,0.011301926,0.0088072881594369,0.0481421752686927,0.0070827405859414,0.0387154970404504,-23.499775,1.0,209530800000.0,2365899075064.789,209530800000.0,1.4018387,0.009210977425623,-0.0065045834166791,-0.0285606950433625,0.893640188738603,0.8836323859841178,0.8936401890861608,0.9776487587660193,0.8936401890861608,0.9776487587660193,9.376822126927317,0.06766558466490041,0.9720556777626742,0.0,11.321247871153728,11.321247871153728,0.1466980452069868,12.373996214477325,2.5 - 3.0
1831,-25.511881056375728,2.77,2410,0.06776993277570854,10427.0,4.0,1.1424795,-28.12592152600149,1.872424,1.6545345,1.1685992,1.1685992,23.47599142645579,53.31619112951725,23.414972,1.0,0.9453493970388088,1.1424797,2580531248,4380379,0.2261,210.7,192.9,0.3412,186.6,0.2144,207.8,0.2655,204.1,-25.50899612723032,0.3002,199.2,0.242,23336.334,6072.4956,-28.14634110003447,20908.938,19057.918,14990.403,1,1,14558.926,19375.688,20647.818,18575.404,53.32391728009942,5847.0093,23581.209,2.7022915,18177.74,-0.013269799,0.011038125,0.011038125,0.060336318,-0.0024276208,0.0070827405859414,-0.0024276208,0.061778303,0.011301926,0.0088072881594369,0.011301926,0.0088072881594369,0.0481421752686927,0.0070827405859414,0.0387154970404504,-23.499775,1.0,209530800000.0,2365899075064.789,209530800000.0,1.4018387,0.009210977425623,-0.0065045834166791,-0.0285606950433625,0.893640188738603,0.8836323859841178,0.8936401890861608,0.9776487587660193,0.8936401890861608,0.9776487587660193,9.376822126927317,0.06766558466490041,0.9720556777626742,0.0,11.321247871153728,11.321247871153728,0.1466980452069868,12.373996214477325,2.5 - 3.0
251,-23.72652771027271,2.9,328,0.028646097170886183,11031.0,4.0,0.32334727,-28.61560801405064,1.203398,0.2212125,0.63637483,0.63637483,25.35867482110252,53.00701288690375,25.34182,1.0,0.9845957953886644,0.32334727,2582030816,2055108,0.2995,288.8,257.7,0.4539,246.8,0.2839,283.7,0.3523,277.2,-23.7245107179267,0.3988,268.7,0.3208,3987.5386,789.11847,-28.64660387949581,3450.673,3371.771,2505.8628,1,1,2422.993,3437.1233,3400.4392,3187.0884,53.01520160804648,755.23535,4036.4153,2.871425,3108.0227,0.6517052,-0.1064283,-0.1064283,-0.2249663,0.3083123,0.3012278122853596,0.3083123,0.68944144,0.32616478,-0.1250810543356602,0.32616478,-0.1250810543356602,-0.2643941568063049,0.3012278122853596,0.6367301095981378,-22.517452,0.99999994,45426287000.0,3865054089735.2114,45426287000.0,65.11861,0.0086854871109545,-0.0029695285951385,-0.007834045049595,-0.16619453263283948,0.18382321437837548,-0.16619453076881946,0.5081082266850319,-0.16619453076881946,0.5081082266850319,5.028812352853912,-0.1962870059712179,0.7014654304826243,-2.60576696822096e-08,10.657307240417724,10.657307240417724,1.8137051216757907,12.587155576057489,2.5 - 3.0
444,-23.68652771027271,2.9,578,0.04753145795621251,11031.0,4.0,0.32334727,-28.61560801405064,1.203398,0.2212125,0.63637483,0.63637483,25.35867482110252,53.00701288690375,25.34182,1.0,0.9845957953886644,0.32334727,2582030816,2055108,0.2995,288.8,257.7,0.4539,246.8,0.2839,283.7,0.3523,277.2,-23.7245107179267,0.3988,268.7,0.3208,3987.5386,789.11847,-28.64660387949581,3450.673,3371.771,2505.8628,1,1,2422.993,3437.1233,3400.4392,3187.0884,53.01520160804648,755.23535,4036.4153,2.871425,3108.0227,0.6517052,-0.1064283,-0.1064283,-0.2249663,0.3083123,0.3012278122853596,0.3083123,0.68944144,0.32616478,-0.1250810543356602,0.32616478,-0.1250810543356602,-0.2643941568063049,0.3012278122853596,0.6367301095981378,-22.517452,0.99999994,45426287000.0,3865054089735.2114,45426287000.0,65.11861,0.0086854871109545,-0.0029695285951385,-0.007834045049595,-0.16619453263283948,0.18382321437837548,-0.16619453076881946,0.5081082266850319,-0.16619453076881946,0.5081082266850319,5.028812352853912,-0.1962870059712179,0.7014654304826243,-2.60576696822096e-08,10.657307240417724,10.657307240417724,1.8137051216757907,12.587155576057489,2.5 - 3.0
1314,-23.727404229883323,2.83,1714,0.04152593209601798,11031.0,4.0,0.32334727,-28.61560801405064,1.203398,0.2212125,0.63637483,0.63637483,25.35867482110252,53.00701288690375,25.34182,1.0,0.9845957953886644,0.32334727,2582030816,2055108,0.2995,288.8,257.7,0.4539,246.8,0.2839,283.7,0.3523,277.2,-23.7245107179267,0.3988,268.7,0.3208,3987.5386,789.11847,-28.64660387949581,3450.673,3371.771,2505.8628,1,1,2422.993,3437.1233,3400.4392,3187.0884,53.01520160804648,755.23535,4036.4153,2.871425,3108.0227,0.6517052,-0.1064283,-0.1064283,-0.2249663,0.3083123,0.3012278122853596,0.3083123,0.68944144,0.32616478,-0.1250810543356602,0.32616478,-0.1250810543356602,-0.2643941568063049,0.3012278122853596,0.6367301095981378,-22.517452,0.99999994,45426287000.0,3865054089735.2114,45426287000.0,65.11861,0.0086854871109545,-0.0029695285951385,-0.007834045049595,-0.16619453263283948,0.18382321437837548,-0.16619453076881946,0.5081082266850319,-0.16619453076881946,0.5081082266850319,5.028812352853912,-0.1962870059712179,0.7014654304826243,-2.60576696822096e-08,10.657307240417724,10.657307240417724,1.8137051216757907,12.587155576057489,2.5 - 3.0
255,-23.243293997439746,2.46,334,0.01562216051744282,7017.0,4.0,0.48053187,-27.81697498886966,0.83402807,0.5256351,0.51818454,0.51817787,24.48425720664957,52.51888786268602,24.438751,1.0,0.9589536259390936,0.4805342,1891074157,9160224,0.3202,171.6,149.7,0.4849,142.1,0.3036,168.0,0.3765,163.4,-23.237707139804836,0.4261,157.4,0.3429,3634.8333,1020.01666,-27.833057036728626,3152.8657,2620.7117,2393.6897,1,1,2329.9219,2660.5198,3116.5525,2612.6692,52.53995645268445,984.9064,3669.8936,2.474589,2561.5623,-0.22600558,0.0031830054,0.0031833444,0.019152753,-0.03756398,0.0179134397730873,-0.03755998,0.22681567,0.037698623,-0.03316715890232,0.037694607,-0.0331706924254197,-0.1995731486618546,0.0179115315357668,0.1077771164083351,-22.798292,0.99976134,75392524000.0,1712597643898.5916,75392580000.0,62594.996,0.0187505965424928,-0.0044801131101269,-0.021359363967925,1.5285250250954665,0.630236751769356,1.5285250273209645,0.9273493191345139,1.528525027035391,0.9273418631794115,4.238335939377638,-0.2855155483028145,0.6271953768287102,-0.0001036610914211372,10.877328605503394,10.877328282918597,4.7965396160147264,12.233655342206758,2.0 - 2.5
