ID,RAJ2000,DEJ2000,R,PMem,Pfree,tLum,tRad,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zspec,ObjID
79,72.07316999999999,-51.70385611111111,0.639,0.698,1.0,1.0000000000000002,0.9999940000000002,21.6489,0.0181,19.9292,0.005,19.3453,0.0052,18.9915,0.0071,,2933299184
79,72.11910999999999,-51.70057305555555,0.268,0.392,1.0,1.0000000000000002,1.0000000000000002,22.2222,0.0241,20.856,0.0092,20.3769,0.0104,20.0183,0.0157,,2933299239
79,72.0769661111111,-51.75854999999999,0.934,0.534,1.0,1.0000000000000002,0.06499500000000001,22.4606,0.0268,20.7855,0.0077,20.2451,0.0086,19.9703,0.0123,,2934011652
79,72.0864811111111,-51.742886944444436,0.73,0.015,1.0,0.9999290000000001,0.9948090000000002,23.1328,0.0911,21.6711,0.0314,20.9397,0.0274,20.636,0.0403,,2934020874
79,72.15946,-51.76745694444444,0.83,0.38,1.0,1.0000000000000002,0.7123030000000001,22.7687,0.0376,21.1025,0.0105,20.4677,0.0118,20.147,0.0159,,2934009458
79,72.18776805555555,-51.75567194444444,0.735,0.764,1.0,1.0000000000000002,0.9929400000000002,22.8251,0.0329,21.1685,0.0096,20.6019,0.0109,20.2877,0.0152,,2934012287
79,72.123055,-51.7391211111111,0.508,0.641,1.0,1.0000000000000002,1.0000000000000002,22.6335,0.0345,20.8881,0.0093,20.2554,0.0093,19.898,0.014,,2933292548
79,72.17927999999999,-51.73861611111111,0.502,0.747,1.0,1.0000000000000002,1.0000000000000002,22.3587,0.0336,20.8189,0.0109,20.2708,0.0115,19.9136,0.0159,,2933292628
79,72.12801694444444,-51.73658305555555,0.46,0.785,1.0,1.0000000000000002,1.0000000000000002,22.0111,0.0263,20.3651,0.0077,19.7637,0.0079,19.4209,0.0122,,2933292809
79,72.18334305555554,-51.734448888888885,0.472,0.809,1.0,1.0000000000000002,1.0000000000000002,22.8209,0.0328,21.3445,0.0113,20.8888,0.0136,20.6157,0.0204,,2933292903
79,72.1662561111111,-51.73318888888888,0.395,0.924,1.0,0.033578000000000004,1.0000000000000002,23.3613,0.0687,21.7038,0.0199,21.1596,0.0214,20.8452,0.0305,,2933293067
79,72.1659511111111,-51.73394805555555,0.403,0.862,1.0,1.0000000000000002,1.0000000000000002,22.002,0.0261,20.3119,0.0077,19.7516,0.0081,19.4162,0.0115,,2933293183
79,72.12574305555555,-51.72348805555555,0.323,0.602,1.0,1.0000000000000002,1.0000000000000002,22.3189,0.0232,21.0544,0.0097,20.5963,0.0128,20.3196,0.02,,2933295117
79,72.12675999999999,-51.72346194444444,0.317,0.898,1.0,1.0000000000000002,1.0000000000000002,22.2755,0.0241,20.5379,0.0066,19.9428,0.0077,19.6069,0.0113,,2933295142
79,72.15095305555555,-51.71918694444444,0.19,0.966,1.0,1.0000000000000002,1.0000000000000002,22.9317,0.0386,21.349,0.012,20.8481,0.0152,20.5712,0.0217,,2933296416
79,72.19520499999999,-51.71923888888888,0.408,0.852,1.0,1.0000000000000002,1.0000000000000002,21.9202,0.0186,20.237,0.0054,19.6953,0.0062,19.3679,0.0084,,2933296448
79,72.15975499999999,-51.71884694444444,0.198,0.033,1.0,1.0000000000000002,1.0000000000000002,21.779,0.0168,20.64,0.0079,20.2691,0.0111,20.0046,0.0161,,2933296535
79,72.14692194444443,-51.71514194444444,0.141,0.973,1.0,1.0000000000000002,1.0000000000000002,22.7388,0.0316,21.0158,0.0087,20.4593,0.0097,20.1488,0.0134,,2933296879
79,72.11720388888888,-51.713201111111104,0.299,0.856,1.0,1.0000000000000002,1.0000000000000002,22.7005,0.0354,20.8802,0.0089,20.2717,0.0094,19.9112,0.0126,,2933297082
79,72.16907111111111,-51.70955694444444,0.159,0.955,1.0,1.0000000000000002,1.0000000000000002,22.5807,0.0316,21.0734,0.0106,20.5863,0.0124,20.326,0.0182,,2933298392
79,72.15308999999999,-51.70723499999999,0.036,0.971,1.0,0.8721020000000002,1.0000000000000002,22.8636,0.0888,21.4178,0.0312,20.9717,0.0384,20.7236,0.0578,,2933298778
79,72.15039694444444,-51.70724194444444,0.033,0.97,1.0,1.0000000000000002,1.0000000000000002,21.7233,0.02,20.0059,0.0055,19.4214,0.006,19.1117,0.0086,,2933298812
79,72.1601711111111,-51.70835888888888,0.087,0.974,1.0,1.0000000000000002,1.0000000000000002,21.8632,0.0281,20.368,0.0095,19.8449,0.0108,19.5593,0.0155,,2933298850
79,72.14896805555554,-51.705818888888885,0.022,0.974,1.0,1.0000000000000002,1.0000000000000002,21.9861,0.0244,20.3361,0.0071,19.8111,0.0079,19.4751,0.0111,,2933298851
79,72.14758111111111,-51.70795888888888,0.051,0.975,1.0,1.0000000000000002,1.0000000000000002,22.1272,0.0369,20.4242,0.0102,19.8949,0.0116,19.6066,0.0167,,2933298936
